门店ID,门店名称,城市,poi_count,avg_cost,median_cost,avg_rating,top_categories,business_area,office_count,residential_count,metro_count,nearest_metro_km
SHW84-1,轻遇三明治（上海凌空soho）,上海市,50,42.9,23.0,3.91,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",北新泾,10,10,10,0.65
SHW98-1,轻遇三明治（上海源深路）,上海市,50,50.0,32.0,3.87,"中餐厅(12), 外国餐厅(10), 休闲餐饮场所(10)",洋泾,10,10,10,0.32
HZW17-1,轻遇三明治（杭州西溪印象城）,杭州市,48,52.4,28.0,4.21,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",西溪,10,10,10,0.05
HZW15-1,轻遇三明治（杭州中大银泰）,杭州市,50,44.4,30.0,4.19,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",杭州新天地,10,10,10,0.42
HZW14-1,轻遇三明治（杭州萧山万象汇）,杭州市,50,47.9,31.0,4.27,"中餐厅(11), 外国餐厅(10), 休闲餐饮场所(10)",北干,10,10,10,0.15
HZW5-1,轻遇三明治（杭州阿里巴巴店）,杭州市,50,43.8,31.0,4.01,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",五常街道,10,10,10,0.83
HZW7-1,轻遇三明治（杭州远洋乐堤港店）,杭州市,50,63.1,38.0,4.2,"中餐厅(11), 快餐厅(10), 咖啡厅(10)",大关,10,10,10,0.55
HZW8-1,轻遇三明治（杭州龙湖西溪天街店）,杭州市,50,56.9,27.0,4.0,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",西溪,10,10,10,0.25
HZW3-1,轻遇三明治（杭州来福士）,杭州市,50,157.0,40.0,4.21,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",新城片区,10,10,10,0.11
HZW13-1,轻遇三明治（杭州欧美金融城）,杭州市,50,44.4,29.0,4.27,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",海创园,10,10,10,0.21
HZW6-1,轻遇三明治（杭州黄龙万科店）,杭州市,50,55.5,27.0,4.01,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",杭州国家高新技术产业开发区,10,10,10,0.12
HZW18-1,轻遇三明治（杭州奥体印象城）,杭州市,50,52.6,28.0,3.95,"中餐厅(10), 外国餐厅(10), 休闲餐饮场所(10)",钱江世纪城,10,10,10,0.38
HZW10-1,轻遇三明治（杭州滨江银泰）,杭州市,50,49.2,21.0,4.14,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",西兴,10,10,10,0.41
BJW3-1,轻遇三明治（北京来福士）,北京市,49,56.0,36.0,4.2,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",东直门,10,10,10,0.03
BJW63-1,轻遇三明治（北京汉威）,北京市,50,57.1,37.0,3.9,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",总部基地,10,10,10,0.1
BJW59-1,轻遇三明治（北京长安商场）,北京市,50,91.2,37.0,4.1,"中餐厅(11), 外国餐厅(10), 休闲餐饮场所(10)",月坛,10,10,10,0.55
BJW56-1,轻遇三明治（北京望京万象汇）,北京市,50,47.8,36.0,4.12,"外国餐厅(11), 中餐厅(10), 快餐厅(10)",望京,10,10,10,0.07
BJW52-1,轻遇三明治（北京新光大）,北京市,50,43.2,29.0,3.96,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",通州北关,10,10,10,0.12
BJW48-1,轻遇三明治（北京元中心）,北京市,50,33.5,27.0,3.77,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",西二旗,10,10,10,0.86
BJW45-1,轻遇三明治（北京信创园）,北京市,44,54.3,30.0,4.19,"中餐厅(10), 快餐厅(10), 咖啡厅(10)",北京经济技术开发区,10,10,10,0.91
BJW16-1,轻遇三明治（北京十里堡万科时代店）,北京市,50,47.4,30.0,4.05,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",四惠,10,10,10,0.87
